N=2: 5 geometries
                                     dists edges  n_orient   stab  point_group
                                      3.57     1         3     16  D4h ✓
                                      2.52     1         6      8  D2h ✓
                                      1.54     1         4     12  D3d ✓
                                      2.96     1        12      4  C2h ✓
                                      3.89     1        12      4  C2h ✓

N=3: 42 geometries
                                     dists edges  n_orient   stab  point_group
                                3.57, 3.89     2        48      1  C1 ✓
                          3.57, 3.57, 3.57     3         3     16  D4h ✓
                                3.57, 3.57     2        12      4  C2h ✓
                                3.57, 3.89     2        24      2  Ci ✓
                                3.57, 3.89     2        24      2  Ci ✓
                          2.96, 3.57, 3.89     3        46      0  C1 ✗
                                2.96, 3.57     2        48      1  C1 ✓
                                2.52, 3.57     2        24      2  Ci ✓
                          1.54, 2.96, 3.57     3        24      2  Ci ✓
                                1.54, 3.57     2        24      2  Ci ✓
                                2.96, 3.57     2        23      0  Ci ✗
                          2.52, 2.52, 3.57     3        12      4  C2h ✓
                                2.52, 3.57     2        35      0  C1 ✗
                                2.52, 3.89     2        48      1  C1 ✓
                                2.52, 3.89     2        24      2  C1 ✓
                          1.54, 2.52, 3.89     3        24      2  Ci ✓
                                2.52, 2.96     2        24      2  Ci ✓
                                2.52, 2.52     2         6      8  D2h ✓
                          2.52, 2.96, 2.96     3        24      2  Ci ✓
                          2.52, 3.89, 3.89     3        24      2  Ci ✓
                          2.52, 2.96, 3.89     3        48      1  C1 ✓
                          1.54, 2.52, 2.96     3        41      0  C1 ✗
                                2.52, 3.89     2        47      0  C1 ✗
                                2.52, 2.96     2        48      1  C1 ✓
                                2.52, 3.89     2        48      1  C1 ✓
                          2.52, 2.52, 2.52     3         8      6  D3 ✓
                                2.52, 2.52     2        24      2  Ci ✓
                          1.54, 1.54, 2.52     3        12      4  C2h ✓
                                1.54, 3.89     2        24      2  Ci ✓
                                1.54, 3.89     2        48      1  C1 ✓
                                1.54, 2.96     2        24      2  Ci ✓
                                2.96, 3.89     2        24      2  Ci ✓
                                2.96, 2.96     2        24      2  Ci ✓
                                2.96, 3.89     2        24      2  Ci ✓
                                2.96, 2.96     2        48      1  C1 ✓
                                2.96, 3.89     2        48      1  C1 ✓
                                2.96, 2.96     2        34      0  Ci ✗
                                2.96, 3.89     2        48      1  C1 ✓
                                3.89, 3.89     2        24      2  Ci ✓
                                3.89, 3.89     2        48      1  C1 ✓
                                3.89, 3.89     2        37      0  C1 ✗
                                3.89, 3.89     2        26      0  C1 ✗

